"","x"
"1300",873
"1301",865
"1302",2155
"1303",2115
"1304",2150
"1305",2171
"1306",2163
"1307",2169
"1308",2116
"1309",2133
"1310",2149
"1311",2157
"1312",2139
"1313",2134
"1314",2121
"1315",2124
"1316",2099
"1317",2173
"1318",2144
"1319",2103
"1320",2106
"1321",2152
"1322",2105
"1323",2123
"1324",2141
"1325",2122
"1326",2166
"1327",2107
"1328",2140
"1329",2131
"1330",2528
"1331",2114
"1332",2113
"1333",2172
"1334",2135
"1335",2168
"1336",2733
"1337",2501
"1338",2732
"1339",2494
"1340",2130
"1341",2125
"1342",2102
"1343",2162
"1344",2117
"1345",2119
"1346",2174
"1347",2120
"1348",2637
"1349",2101
"1350",2668
"1351",2587
"1352",2700
"1353",2110
"1354",1793
"1355",2545
"1356",2660
"1357",2677
"1358",2606
"1359",2522
"1360",2579
"1361",2686
"1362",2595
"1363",2731
"1364",2126
"1365",2533
"1366",2554
"1367",2585
"1368",2527
"1369",2512
"1370",2495
"1371",2680
"1372",2708
"1373",2524
"1374",1782
"1375",1773
"1376",2592
"1377",2669
"1378",2548
"1379",2674
"1380",1767
"1381",1784
"1382",2498
"1383",2629
"1384",2584
"1385",2566
"1386",2662
"1387",2540
"1388",2588
"1389",2567
"1390",2624
"1391",2552
"1392",2543
"1393",2641
"1394",2599
"1395",2529
"1396",2740
"1397",1775
"1398",2572
"1399",2712
"1400",2642
"1401",2547
"1402",2648
"1403",2491
"1404",2737
"1405",2640
"1406",1764
"1407",1770
"1408",2544
"1409",2604
"1410",1781
"1411",1769
"1412",1789
"1413",1771
"1414",1763
"1415",73
"1416",72
"1417",71
"1418",70
"1419",81
"1420",74
"1421",82
"1422",75
"1423",79
"1424",78
"1425",80
"1426",69
"1427",1774
"1428",1778
"1429",2560
"1430",2678
"1431",2511
"1432",2611
"1433",2684
"1434",2727
"1435",2675
"1436",2541
"1437",2720
"1438",2557
"1439",2654
"1440",2681
"1441",2711
"1442",2542
"1443",2607
"1444",2576
"1445",2506
"1446",2697
"1447",2574
"1448",2621
"1449",2706
"1450",2627
"1451",2593
"1452",2713
"1453",2698
"1454",2704
"1455",2741
"1456",2608
"1457",2738
"1458",2658
"1459",2538
"1460",2580
"1461",2145
"1462",2132
"1463",2147
"1464",2104
"1465",2100
"1466",2112
"1467",2159
"1468",2111
"1469",2160
"1470",2164
"1471",2129
"1472",2158
"1473",2143
"1474",2153
"1475",2151
"1476",2138
"1477",2156
"1478",2154
"1479",872
"1480",864
"1481",879
"1482",917
"1483",904
"1484",921
"1485",957
"1486",958
"1487",855
"1488",856
"1489",870
"1490",891
"1491",862
"1492",863
"1493",918
"1494",885
"1495",935
"1496",929
"1497",910
"1498",924
"1499",884
"1500",877
"1501",953
"1502",943
"1503",897
"1504",898
"1505",906
"1506",1532
"1507",1460
"1508",857
"1509",861
"1510",1694
"1511",920
"1512",913
"1513",1687
"1514",1669
"1515",1686
"1516",1633
