"fips","name","long","lat","tz","area","children","distance"
"21003","Allen County, KY",-86.1945754402787,36.7519763124125,2,344.337658368632,2279,21.3456501193168
"21009","Barren County, KY",-85.9333894507356,36.9646983589317,2,487.544011157642,4987,20.606536155272
"21169","Metcalfe County, KY",-85.6312369915231,36.9945929485847,2,289.645508449844,1132,16.8429074554714
"21171","Monroe County, KY",-85.7159644294784,36.7122534075801,2,329.373456853437,1184,20.0274592318482
"47027","Clay County, TN",-85.5392801405976,36.5515014633093,2,236.536339543273,818,14.8082120204836
"21057","Cumberland County, KY",-85.3905003378468,36.7892612465513,2,305.181675139041,757,18.3598555227995
"21053","Clinton County, KY",-85.1337752898852,36.7258115573299,2,197.245806661251,1200,14.9010182857055
"21231","Wayne County, KY",-84.8252225816686,36.8031060593222,12,458.182733896798,2035,17.928863015612
"21207","Russell County, KY",-85.0607011733806,36.9930837329485,2,253.657347098786,2133,18.4851232146024
"21001","Adair County, KY",-85.2812966799458,37.1045977436428,1,405.282977920698,1706,14.4155315984356
"21045","Casey County, KY",-84.9272565291531,37.3252768103892,1,444.232925455399,1620,24.7563169416576
"21217","Taylor County, KY",-85.3330165509571,37.3677693345975,2,266.33689990183,2779,22.5313867011417
"21155","Marion County, KY",-85.2689430386659,37.5521613529391,1,343.00954493571,2457,13.1952750488287
"21229","Washington County, KY",-85.1740762611777,37.7560136980707,1,297.272047708358,1319,14.9904147044501
"21179","Nelson County, KY",-85.4656951358177,37.8033551604804,1,417.513317464612,5452,16.2935209781305
"21123","Larue County, KY",-85.7014051331452,37.5456796352924,1,261.532489429073,1538,21.9717195273718
"21087","Green County, KY",-85.5540744958994,37.2648432762096,2,286.039037453342,1051,20.9950941611143
"21099","Hart County, KY",-85.88461054685,37.2994389779531,2,412.478487015139,2182,18.3695115803722
"21061","Edmonson County, KY",-86.2395561323946,37.2121892254548,2,302.884911313357,1022,20.4700503485963
"21085","Grayson County, KY",-86.3421052619979,37.4610417204604,2,498.632065148747,3288,18.066685462887
"21093","Hardin County, KY",-85.9631925063124,37.6976110989573,1,623.298271821024,13264,26.4330751456341
"21027","Breckinridge County, KY",-86.4284325344132,37.7719638209742,2,567.203135924821,2070,25.9931527104987
"21163","Meade County, KY",-86.2102821940626,37.9616359726478,1,305.423930691327,3364,17.7027275235267
"18061","Harrison County, IN",-86.1094827079119,38.1946737882443,17,484.515526598305,4004,16.986454946955
"18043","Floyd County, IN",-85.9038537728603,38.3211795724539,17,147.988463159393,8446,14.1843579694391
"21111","Jefferson County, KY",-85.6593103087646,38.1866465507316,17,380.47573585193,86836,16.2172000750342
"21029","Bullitt County, KY",-85.6895536034847,37.971602421577,1,297.024476687656,8325,14.9232819498076
"21215","Spencer County, KY",-85.3274933465868,38.0322397125239,1,186.678014131887,1890,20.1971963623445
"21211","Shelby County, KY",-85.1942229987068,38.2147601910457,1,379.637634707134,5746,14.5328116690251
